Input,Officer_1_rank,Standard_name,General_name
P/O PATROL,1,OFFICER,Ofc.
K9 PATROLMAN,1,K9 OFFICER,K9 Ofc.
SPECIAL POLICE OFF,1,SLEO,SLEO
SPECIAL II OFFICER,1,SLEO II,SLEO
SLEC II,1,SLEO II,SLEO
SGT/PTL,1,SERGEANT,Sgt.
SLEO CLASS 2,1,SLEO II,SLEO
RANK OFFICER,1,OFFICER,Ofc.
AUX OFFICER,1,AUX OFFICER,Aux Ofc.
SPECIAL/CLASS II,1,SLEO II,SLEO
SGT/K-0,1,K9 OFFICER,K9 Ofc.
DET. LT.,1,DETECTIVE LIEUTENANT,Det. Lt.
PTL/SLEO 2,1,SLEO II,SLEO
S/PO,1,SLEO,SLEO
A/SGT. SQUAD 2,1,SERGEANT,Sgt.
SPECIAL POLICE OFFICER II,1,SLEO II,SLEO
CLASS 2 SPECIAL OFFICER,1,SLEO II,SLEO
M. P. O. II,1,MASTER OFFICER,Master Ofc.
PO/PATROLMAN,1,OFFICER,Ofc.
S/O CLASS 2,1,SLEO II,SLEO
DETECTIVE ILLEGIBLE,1,DETECTIVE,Det. 
PTL/K9,1,K9 OFFICER,K9 Ofc.
PATROL MAN,1,OFFICER,Ofc.
ILLEGIBLE / SGT,1,SERGEANT,Sgt.
S.O. CLASS II,1,SLEO II,SLEO
DET. CPL.,1,DETECTIVE,Det.
SLE CLASS II,1,SLEO II,SLEO
PTL 3RD CLASS,1,OFFICER,Ofc.
PATROL/BIKE,1,OFFICER,Ofc.
5TH CLASS PTLM,1,OFFICER,Ofc.
SPECIAL P/O,1,SLEO,SLEO
MPO-I,1,MASTER OFFICER,Master Ofc.
SO / SLEO II,1,SLEO II,SLEO
SPECIAL OFFICER 1,1,SLEO II,SLEO
SPECIAL OFFICER 2,1,SLEO II,SLEO
LIEUTENAMT,1,LIEUTENANT,Lt.
SPECIAL CLASS I,1,SLEO I,SLEO
PATROLMAN (CLASS II),1,OFFICER,Ofc.
"DET, SERGEANT",1,DETECTIVE SERGEANT,Det. Sgt. 
"PATROLMAN, MPO I",1,OFFICER,Ofc.
SGT 1ST CLASS,1,SERGEANT,Sgt.
M.P.O. K-9 OFFICER,1,K9 OFFICER,K9 Ofc.
DET/2ND,1,DETECTIVE,Det.
PTL/OFC,1,OFFICER,Ofc.
SGT/DET,1,DETECTIVE SERGEANT,Det. Sgt. 
SLEO III,1,SLEO III,SLEO
SPECIAL OFFICER CL II,1,SLEO II,SLEO
OFC K9,1,K9 OFFICER,K9 Ofc.
ACTING SGT,1,SERGEANT,Sgt.
DETECTION,1,DETECTIVE,Det.
PATROL/PO,1,OFFICER,Ofc.
PTLM/K9,1,K9 OFFICER,K9 Ofc.
"DETECTIVE, LIEUTENANT",1,DETECTIVE LIEUTENANT,Det. Lt.
PTLM 2ND CLASS,1,OFFICER,Ofc.
SPL CLASS 2,1,SLEO II,SLEO
PL,1,OFFICER,Ofc.
PH,1,ND,ND
PT,1,OFFICER,Ofc.
A/LT.,1,LIEUTENANT,Lt.
"S.O, SGT",1,SERGEANT,Sgt.
PTLW,1,OFFICER,Ofc.
PATL,1,OFFICER,Ofc.
BLACK,1,ND,ND
DET SERGEANT,1,DETECTIVE SERGEANT,Det. Sgt. 
K9,1,K9 OFFICER,K9 Ofc.
K9 TRAINER/HANDLER,1,K9 OFFICER,K9 Ofc.
SLEII,1,SLEO II,SLEO
CSI,1,DETECTIVE,Det.
ASIAN,1,ND,ND
SPO II,1,SLEO II,SLEO
"SHERIFF'S OFFICER, UCSO",1,OFFICER,Ofc.
S.O.II,1,SLEO II,SLEO
D / CAPT,1,CAPTAIN,Capt.
PTLM. MPO I,1,MASTER OFFICER,Master Ofc.
ILLEGIBLE OFFICER,1,OFFICER,Ofc.
TELE,1,ND,ND
OFFICER/PATROL,1,OFFICER,Ofc.
ASGT,1,SERGEANT,Sgt.
SLEO II OFC,1,SLEO II,SLEO
PATROLMAN/SLEO,1,SLEO,SLEO
M.P.O. PATROLMAN,1,MASTER OFFICER,Master Ofc.
POLICE OFFICER DETECTIVE,1,DETECTIVE,Det.
PTLM K-9,1,K9 OFFICER,K9 Ofc.
I/DETECTIVE,1,DETECTIVE,Det.
M.P.O.I,1,MASTER OFFICER,Master Ofc.
DETECTIVE CORPORAL,1,DETECTIVE,Det.
TRAINER/HANDER,1,K9 OFFICER,K9 Ofc.
SPECIAL CLASS III,1,SLEO III,SLEO
DF,1,ND,ND
DET K9,1,K9 OFFICER,K9 Ofc.
CL 1,1,SLEO I,SLEO
"PATROLMAN, MPO-I",1,MASTER OFFICER,Master Ofc.
DET/CPL,1,DETECTIVE,Det.
PATLM,1,OFFICER,Ofc.
CLL,1,ND,ND
CL2,1,SLEO II,SLEO
CLASS ONE,1,SLEO I,SLEO
PTL/OFFICER,1,OFFICER,Ofc.
SO-1,1,SLEO I,SLEO
DETECTIVE/PATROLWOMEN,1,DETECTIVE,Det.
CLASS II S.O,1,SLEO II,SLEO
PATROLMAN MPO 1,1,MASTER OFFICER,Master Ofc.
"P.O, SGT",1,SERGEANT,Sgt.
PATROLMAN SLEO 1,1,SLEO I,SLEO
POLICE LIEUTENANT,1,LIEUTENANT,Lt.
PTL/ICA,1,OFFICER,Ofc.
SPECIAL OFFICER CLASS I,1,SLEO I,SLEO
SPECIAL II POLICE OFFICER,1,SLEO II,SLEO
OIC / PTL,1,OFFICER,Ofc.
"PATROLMAN, MPO II",1,MASTER OFFICER,Master Ofc.
DETECTIVE/SGT,1,DETECTIVE SERGEANT,Det. Sgt. 
"AUXILIARY, APO",1,AUX OFFICER,Aux Ofc.
DET / SGT,1,DETECTIVE SERGEANT,Det. Sgt. 
PTL 4TH CLASS,1,OFFICER,Ofc.
TRAINER,1,OFFICER,Ofc.
AUXILIARY,1,AUX OFFICER,Aux Ofc.
DETECTIVE/OFFICER,1,DETECTIVE,Det.
PATROL/POLICE OFFICER,1,OFFICER,Ofc.
"PATROLMAN, K-9",1,K9 OFFICER,K9 Ofc.
I/DET,1,DETECTIVE,Det.
ACTING SERG,1,SERGEANT,Sgt.
S.C.O,1,OFFICER,Ofc.
LT.,1,LIEUTENANT,Lt.
BLK,1,BLANK,
CLASS I JAIL OFFICER,1,OFFICER,Ofc.
RES. P/O,1,OFFICER,Ofc.
K-9 DETECTIVE,1,K9 OFFICER,K9 Ofc.
A/SERGEANT,1,SERGEANT,Sgt.
SR. SLEO II,1,SLEO II,SLEO
SPEC OFFICER II,1,SLEO II,SLEO
SO III,1,SLEO III,SLEO
PO/DET,1,DETECTIVE,Det.
A/DSGT,1,DETECTIVE SERGEANT,Det. Sgt. 
DETECTIVE SGT,1,DETECTIVE SERGEANT,Det. Sgt. 
D / SGT,1,DETECTIVE SERGEANT,Det. Sgt. 
PATROLMAN 5TH CLASS,1,OFFICER,Ofc.
